"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2018-04-06,2018,4,-34.47,-72.54,39,4,"4.0 a 4.9","Intermedio",0,0,"O'Higgins","Región más cercana","Centro","region_8"
2019-06-04,2019,6,-32.16,-71.75,37,4.6,"4.0 a 4.9","Intermedio",0,0,"Valparaíso","Región más cercana","Centro","region_16"
2016-06-12,2016,6,-37.86,-73.65,35,4.5,"4.0 a 4.9","Intermedio",0,0,"Biobío","Región más cercana","Sur","region_6"
2017-09-21,2017,9,-37.93,-73.95,43,4.7,"4.0 a 4.9","Intermedio",0,0,"Biobío","Región más cercana","Sur","region_6"
2018-07-30,2018,7,-34.76,-71.7,46,4.5,"4.0 a 4.9","Intermedio",0,0,"O'Higgins","Dentro del polígono regional","Centro","region_8"
2019-05-23,2019,5,-34.8,-71.81,42,4.2,"4.0 a 4.9","Intermedio",0,0,"O'Higgins","Dentro del polígono regional","Centro","region_8"
2019-03-22,2019,3,-22.9,-68.75,106,4.3,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2018-12-08,2018,12,-33.31,-70.36,96,4.2,"4.0 a 4.9","Profundo",0,0,"Región Metropolitana","Dentro del polígono regional","Centro","region_14"
2016-05-10,2016,5,-37.95,-74.38,28,4.8,"4.0 a 4.9","Superficial",0,0,"Biobío","Región más cercana","Sur","region_6"
2019-06-02,2019,6,-32.15,-71.7,30,4.3,"4.0 a 4.9","Intermedio",0,0,"Valparaíso","Región más cercana","Centro","region_16"
2018-10-12,2018,10,-34.73,-71.83,43,4.6,"4.0 a 4.9","Intermedio",0,0,"O'Higgins","Dentro del polígono regional","Centro","region_8"
2016-11-21,2016,11,-37.43,-73.9,42,4.9,"4.0 a 4.9","Intermedio",0,0,"Biobío","Región más cercana","Sur","region_6"
